Date,Close,Open,High,Low,Order matchings,% Change
11-03-14,11949,11949,12160,11844,36.03K,0.00%
12-03-14,12054,11949,12054,11844,20.51K,0.88%
13-03-14,12002,12002,12002,11844,45.73K,-0.43%
14-03-14,11897,11844,11949,11844,78.37K,-0.87%
17-03-14,12791,11844,12897,11844,609.33K,7.51%
18-03-14,13002,12791,13107,12528,296.74K,1.65%
19-03-14,13002,13160,13370,12633,61.35K,0.00%
20-03-14,12844,12949,13055,12581,240.51K,-1.22%
21-03-14,12791,12844,12897,12633,169.28K,-0.41%
24-03-14,13213,12791,13213,12791,141.87K,3.30%
25-03-14,13476,13107,13528,13107,440.14K,1.99%
26-03-14,13107,13423,13423,12844,83.76K,-2.74%
27-03-14,13055,13055,13160,12633,299.55K,-0.40%
28-03-14,13002,13055,13055,12844,45.96K,-0.41%
31-03-14,12897,13002,13002,12739,211.06K,-0.81%
01-04-14,12633,12897,12897,12107,43.74K,-2.05%
02-04-14,12370,12897,12897,12107,26.58K,-2.08%
03-04-14,12633,12212,12633,12212,79.24K,2.13%
04-04-14,12633,12633,12633,11423,8.56K,0.00%
07-04-14,12581,12370,12633,12370,55.02K,-0.41%
08-04-14,12633,12581,12686,12528,65.83K,0.41%
10-04-14,12581,12739,12844,12528,26.58K,-0.41%
11-04-14,12581,12528,12581,12423,17.17K,0.00%
14-04-14,12581,12581,12633,12528,10.09K,0.00%
15-04-14,12212,12423,12423,12212,20.61K,-2.93%
16-04-14,12212,12107,12212,11317,23.82K,0.00%
17-04-14,12370,13160,13370,12212,20.37K,1.29%
18-04-14,11791,12370,12370,11791,7.71K,-4.68%
21-04-14,11633,11581,12107,11581,11.18K,-1.34%
22-04-14,11844,11686,11844,11581,4.88K,1.81%
23-04-14,11581,11949,11949,11581,8.83K,-2.22%
24-04-14,11686,11581,11686,11528,8.63K,0.91%
25-04-14,11844,11686,11844,11686,1.99K,1.35%
28-04-14,11791,11581,11791,11581,0.99K,-0.45%
29-04-14,11844,11633,11844,11528,10.06K,0.45%
05-05-14,11791,11844,11844,11423,12.30K,-0.45%
